path,label
../datasets/Faces/actors_ussr_russia/15279/1.jpg,Артем Яковлев
../datasets/Faces/actors_ussr_russia/658/2.jpg,Людмила Савельева
../datasets/Faces/actors_ussr_russia/15035/2.jpg,Евгений Сидоров
../datasets/Faces/actors_ussr_russia/45590/5.jpg,Дмитрий Мельников
../datasets/Faces/actors_ussr_russia/26305/1.jpg,Венера Нигматулина
../datasets/Faces/actors_ussr_russia/2425/2.jpg,Дмитрий Дибров
../datasets/Faces/actors_ussr_russia/405/1.jpg,Валерия Козлова
../datasets/Faces/actors_ussr_russia/243/1.jpg,Ольга Сутулова
../datasets/Faces/actors_ussr_russia/41867/1.jpg,Николай Рыжков
../datasets/Faces/actors_ussr_russia/5167/5.jpg,Анастасия Аравина
../datasets/Faces/actors_ussr_russia/33997/1.jpg,Денис Пирожков
../datasets/Faces/actors_ussr_russia/3356/1.jpg,Александра Гуркова
../datasets/Faces/actors_ussr_russia/5519/1.jpg,Яна Лебедева
../datasets/Faces/actors_ussr_russia/3357/2.jpg,Изабель Кларк
../datasets/Faces/actors_ussr_russia/37703/1.jpg,Дмитрий Кононов
../datasets/Faces/actors_ussr_russia/13520/5.jpg,Анастасия Бактимирова
../datasets/Faces/actors_ussr_russia/188/2.jpg,Иван Макаревич
../datasets/Faces/actors_ussr_russia/565/1.jpg,Федор Дунаевский
../datasets/Faces/actors_ussr_russia/3762/3.jpg,Андрей Сафронов
../datasets/Faces/actors_ussr_russia/4022/4.jpg,Екатерина Хлыстова
../datasets/Faces/actors_ussr_russia/25160/4.jpg,Руслана Писанка
../datasets/Faces/actors_ussr_russia/11549/4.jpg,Любовь Ярлыкова
../datasets/Faces/actors_ussr_russia/13731/2.jpg,Владимир Кара-Мурза
../datasets/Faces/actors_ussr_russia/39104/4.jpg,Андре Тан
../datasets/Faces/actors_ussr_russia/114/2.jpg,Константин Крюков
../datasets/Faces/actors_ussr_russia/30203/1.jpg,Лейла Абашидзе
../datasets/Faces/actors_ussr_russia/746/2.jpg,Наталья Мурашкевич
../datasets/Faces/actors_ussr_russia/21711/2.jpg,Вячеслав Караваев
../datasets/Faces/actors_ussr_russia/18447/1.jpg,Илья Пучеглазов
../datasets/Faces/actors_ussr_russia/1705/3.jpg,Анна Плисецкая
../datasets/Faces/actors_ussr_russia/3714/3.jpg,Елена Финогеева
../datasets/Faces/actors_ussr_russia/21282/1.jpg,Варвара Алешкевич
../datasets/Faces/actors_ussr_russia/13715/1.jpg,Виталий Рябов
../datasets/Faces/actors_ussr_russia/14842/3.jpg,Татьяна Егорова
../datasets/Faces/actors_ussr_russia/29101/4.jpg,Рита Гладунко
../datasets/Faces/actors_ussr_russia/24973/3.jpg,Стелла Ильницкая
../datasets/Faces/actors_ussr_russia/131/4.jpg,Ирина Вилкова
../datasets/Faces/actors_ussr_russia/8410/2.jpg,Константин Константинов
../datasets/Faces/actors_ussr_russia/21374/1.jpg,Антон Дериглазов
../datasets/Faces/actors_ussr_russia/1772/2.jpg,Михаил Богдасаров
../datasets/Faces/actors_ussr_russia/29031/2.jpg,Андрей Снежко
../datasets/Faces/actors_ussr_russia/24103/4.jpg,Клара Лучко
../datasets/Faces/actors_ussr_russia/14957/1.jpg,Екатерина Кожушаная
../datasets/Faces/actors_ussr_russia/35060/1.jpg,Ярослав Кучеренко
../datasets/Faces/actors_ussr_russia/3255/5.jpg,Сергей Матвиенко
../datasets/Faces/actors_ussr_russia/21331/1.jpg,Маргарита Калекина
../datasets/Faces/actors_ussr_russia/16688/4.jpg,Николай Сидоренко
../datasets/Faces/actors_ussr_russia/6701/3.jpg,Маргарита Кумыш
../datasets/Faces/actors_ussr_russia/8519/2.jpg,Зифа Ялчигулова
../datasets/Faces/actors_ussr_russia/15272/1.jpg,Алёна Казанцева
../datasets/Faces/actors_ussr_russia/21936/4.jpg,Елена Шичкина
../datasets/Faces/actors_ussr_russia/625/3.jpg,Александр Белявский
../datasets/Faces/actors_ussr_russia/786/5.jpg,Елена Морозова
../datasets/Faces/actors_ussr_russia/5333/2.jpg,Анна Агеева
../datasets/Faces/actors_ussr_russia/24381/4.jpg,Вячеслав Дусмухаметов
../datasets/Faces/actors_ussr_russia/304/3.jpg,Александра Урсуляк
../datasets/Faces/actors_ussr_russia/7232/5.jpg,Ольга Верещагина
../datasets/Faces/actors_ussr_russia/708/2.jpg,Валерия Немченко
../datasets/Faces/actors_ussr_russia/35306/1.jpg,Игорь Бушмелев
../datasets/Faces/actors_ussr_russia/2240/3.jpg,Дмитрий Аверин
../datasets/Faces/actors_ussr_russia/21570/2.jpg,Сергей Дроздов
../datasets/Faces/actors_ussr_russia/30987/3.jpg,Элина Пяхклимяги
../datasets/Faces/actors_ussr_russia/417/1.jpg,Татьяна Васильева
../datasets/Faces/actors_ussr_russia/30224/1.jpg,Николай Калинин
../datasets/Faces/actors_ussr_russia/18338/4.jpg,Александр Мансуров
../datasets/Faces/actors_ussr_russia/13623/5.jpg,Александр Панин
../datasets/Faces/actors_ussr_russia/5314/1.jpg,Александра Политик
../datasets/Faces/actors_ussr_russia/1993/4.jpg,Анна Махлина
../datasets/Faces/actors_ussr_russia/5611/4.jpg,Борис Степанцев
../datasets/Faces/actors_ussr_russia/11503/1.jpg,Эрмина Соколова
../datasets/Faces/actors_ussr_russia/11621/1.jpg,Владислав Арсланов
../datasets/Faces/actors_ussr_russia/16268/1.jpg,Лариса Левски
../datasets/Faces/actors_ussr_russia/26113/5.jpg,Григоре Григориу
../datasets/Faces/actors_ussr_russia/679/1.jpg,Марина Орлова
../datasets/Faces/actors_ussr_russia/6660/2.jpg,Дарья Шашина
../datasets/Faces/actors_ussr_russia/3346/1.jpg,Елена Лагута
../datasets/Faces/actors_ussr_russia/15133/3.jpg,Николай Либиков
../datasets/Faces/actors_ussr_russia/2039/1.jpg,Полина Пахомова
../datasets/Faces/actors_ussr_russia/5118/1.jpg,Анастасия Сергеева
../datasets/Faces/actors_ussr_russia/5110/4.jpg,Аделина Гизатуллина
../datasets/Faces/actors_ussr_russia/3855/3.jpg,Дарья Хорошилова
../datasets/Faces/actors_ussr_russia/397/3.jpg,Владислав Котлярский
../datasets/Faces/actors_ussr_russia/79/5.jpg,Михаил Ефремов
../datasets/Faces/actors_ussr_russia/1692/2.jpg,Константин Карасик
../datasets/Faces/actors_ussr_russia/4876/1.jpg,Елена Волхонская
../datasets/Faces/actors_ussr_russia/3689/1.jpg,Анна Кашникова
../datasets/Faces/actors_ussr_russia/5364/4.jpg,Дарья Перова
../datasets/Faces/actors_ussr_russia/8/4.jpg,Сергей Безруков
../datasets/Faces/actors_ussr_russia/24860/3.jpg,Лана Щербакова
../datasets/Faces/actors_ussr_russia/9940/2.jpg,Екатерина Шульман
../datasets/Faces/actors_ussr_russia/10451/3.jpg,Алина Бузинова
../datasets/Faces/actors_ussr_russia/21894/4.jpg,Яна Томаш
../datasets/Faces/actors_ussr_russia/6952/2.jpg,Анастасия Шемякина
../datasets/Faces/actors_ussr_russia/24500/5.jpg,Майя Вознесенская
../datasets/Faces/actors_ussr_russia/13348/3.jpg,Артемий Мильграм
../datasets/Faces/actors_ussr_russia/11457/2.jpg,Виктор Зинчук
../datasets/Faces/actors_ussr_russia/12184/1.jpg,Татьяна Сазонова
../datasets/Faces/actors_ussr_russia/3427/2.jpg,Александр Грашин
../datasets/Faces/actors_ussr_russia/23970/1.jpg,Нигина Сайфуллаева
../datasets/Faces/actors_ussr_russia/30160/1.jpg,Татьяна Сомова
../datasets/Faces/actors_ussr_russia/283/2.jpg,Валентина Лукащук
../datasets/Faces/actors_ussr_russia/6690/1.jpg,Валентина Цой
../datasets/Faces/actors_ussr_russia/28848/3.jpg,Павел Сьянов
../datasets/Faces/actors_ussr_russia/13081/2.jpg,Наталия Моргунова
../datasets/Faces/actors_ussr_russia/34108/3.jpg,Илона Бродская
../datasets/Faces/actors_ussr_russia/42693/1.jpg,Вячеслав Рак
../datasets/Faces/actors_ussr_russia/10210/1.jpg,Сергей Медведев
../datasets/Faces/actors_ussr_russia/730/1.jpg,Ольга Фонда
../datasets/Faces/actors_ussr_russia/6818/1.jpg,Дмитрий Жойдик
../datasets/Faces/actors_ussr_russia/1907/4.jpg,Эвелина Хромченко
../datasets/Faces/actors_ussr_russia/8757/1.jpg,Андрей Калугин
../datasets/Faces/actors_ussr_russia/3533/1.jpg,Анна Бачалова
